Region,AgeGroup,PopulationWeight,MedianWealth,MeanWage
Northeast,18-25,0.020,10000,35000
Northeast,26-35,0.029,25000,55000
Northeast,36-50,0.043,80000,75000
Northeast,51-65,0.039,150000,80000
Northeast,65+,0.039,200000,45000
Midwest,18-25,0.025,8000,30000
Midwest,26-35,0.036,20000,45000
Midwest,36-50,0.053,70000,60000
Midwest,51-65,0.048,130000,65000
Midwest,65+,0.048,160000,40000
South,18-25,0.046,7500,28000
South,26-35,0.065,18000,42000
South,36-50,0.095,65000,55000
South,51-65,0.087,110000,58000
South,65+,0.087,140000,38000
West,18-25,0.029,11000,38000
West,26-35,0.041,28000,60000
West,36-50,0.060,85000,80000
West,51-65,0.055,160000,85000
West,65+,0.055,220000,50000
